#median_bin_length(cM)	mean_posterior_tmrca	probability_coalesce_within_10_generation
16.325	12.93	0.380734880674167
16.375	12.9	0.3830566974091718
16.425	12.86	0.3853801588676041
16.475	12.82	0.3877051772112357
16.525	12.78	0.39003166455806154
16.575	12.74	0.39235953299516896
16.625	12.71	0.3946886945915679
16.675	12.67	0.3970190614109734
16.725	12.63	0.399350545524557
16.775	12.59	0.4016830590236343
16.825	12.56	0.4040165140323172
16.875	12.52	0.40635082272009937
16.925	12.48	0.40868589731438626
16.975	12.45	0.4110216501129672
17.025	12.41	0.41335799349642033
17.075	12.37	0.41569483994044876
17.125	12.34	0.41803210202814056
17.175	12.3	0.42036969246216754
17.225	12.27	0.422707524076892
17.275	12.23	0.4250455098504007
17.325	12.19	0.4273835629164503
17.375	12.16	0.42972159657633313
17.425	12.12	0.4320595243106455
17.475	12.09	0.43439725979096605
17.525	12.05	0.43673471689144155
17.575	12.02	0.439071809700272
17.625	11.98	0.44140845253109395
17.675	11.95	0.4437445599342639
17.725	11.91	0.44608004670803286
17.775	11.88	0.4484148279096129
17.825	11.84	0.45074881886613566
17.875	11.81	0.4530819351854897
17.925	11.78	0.45541409276705624
17.975	11.74	0.4577452078123106
18.025	11.71	0.46007519683531467
18.075	11.67	0.4624039766730887
18.125	11.64	0.46473146449584324
18.175	11.61	0.46705757781710694
18.225	11.57	0.46938223450370814
18.275	11.54	0.4717053527856343
18.325	11.5	0.4740268512657592
18.375	11.47	0.4763466489294358
18.425	11.44	0.4786646651539508
18.475	11.4	0.48098081971784656
18.525	11.37	0.48329503281010266
18.575	11.34	0.4856072250391747
18.625	11.31	0.48791731744189865
18.675	11.27	0.49022523149224095
18.725	11.24	0.49253088910991494
18.775	11.21	0.49483421266884897
18.825	11.18	0.4971351250055034
18.875	11.14	0.49943354942704427
18.925	11.11	0.5017294097193673
18.975	11.08	0.5040226301549691
19.025	11.05	0.5063131355006758
19.075	11.02	0.5086008510252064
19.125	10.98	0.5108857025065983
19.175	10.95	0.5131676162394658
19.225	10.92	0.5154465190421211
19.275	10.89	0.5177223382635228
19.325	10.86	0.5199950017900796
19.375	10.83	0.5222644380523022
19.425	10.8	0.5245305760312894
19.475	10.77	0.5267933452650589
19.525	10.74	0.5290526758547309
19.575	10.7	0.5313084984705486
19.625	10.67	0.5335607443577349
19.675	10.64	0.5358093453422061
19.725	10.61	0.5380542338361138
19.775	10.58	0.5402953428432424
19.825	10.55	0.5425326059642372
19.875	10.52	0.5447659574016854
19.925	10.49	0.5469953319650355
19.975	10.46	0.5492206650753528
20.025	10.43	0.5514418927699334
20.075	10.4	0.5536589517067522
20.125	10.37	0.5558717791687495
20.175	10.34	0.5580803130679782
20.225	10.31	0.5602844919495754
20.275	10.29	0.5624842549955974
20.325	10.26	0.564679542028692
20.375	10.23	0.5668702935156129
20.425	10.2	0.5690564505705924
20.475	10.17	0.5712379549585525
20.525	10.14	0.5734147490981665
20.575	10.11	0.5755867760647722
20.625	10.08	0.5777539795931348
20.675	10.06	0.5799163040800549
20.725	10.03	0.5820736945868386
20.775	10.0	0.5842260968416079
20.825	9.97	0.586373457241478
20.875	9.94	0.5885157228545752
20.925	9.91	0.5906528414219212
20.975	9.89	0.5927847613591746
21.025	9.86	0.594911431758215
21.075	9.83	0.597032802388609
21.125	9.8	0.5991488236989169
21.175	9.78	0.6012594468178719
21.225	9.75	0.603364623555417
21.275	9.72	0.605464306403608
21.325	9.7	0.6075584485373822
21.375	9.67	0.6096470038151895
21.425	9.64	0.6117299267794959
21.475	9.61	0.6138071726571542
21.525	9.59	0.6158786973596508
21.575	9.56	0.6179444574832094
21.625	9.53	0.6200044103087876
21.675	9.51	0.622058513801939
21.725	9.48	0.6241067266125452
21.775	9.46	0.6261490080744403
21.825	9.43	0.6281853182049066
21.875	9.4	0.6302156177040503
21.925	9.38	0.6322398679540663
21.975	9.35	0.6342580310183771
22.025	9.33	0.6362700696406689
22.075	9.3	0.6382759472438126
22.125	9.27	0.6402756279286652
22.175	9.25	0.6422690764727726
22.225	9.22	0.6442562583289626
