#median_bin_length(cM)	mean_posterior_tmrca
33.025	4.63
33.075	4.62
33.125	4.61
33.175	4.6
33.225	4.6
33.275	4.59
33.375	4.58
33.425	4.57
33.475	4.56
33.525	4.56
33.625	4.54
33.775	4.52
33.875	4.51
34.075	4.48
34.175	4.47
34.225	4.46
34.325	4.45
34.425	4.44
34.575	4.42
34.675	4.4
34.825	4.38
34.875	4.38
34.925	4.37
34.975	4.36
35.025	4.36
35.075	4.35
35.125	4.35
35.275	4.33
35.325	4.32
35.375	4.31
35.425	4.31
35.475	4.3
35.575	4.29
35.625	4.28
35.675	4.28
35.725	4.27
35.775	4.27
36.025	4.24
36.125	4.22
36.325	4.2
36.625	4.17
36.725	4.15
36.925	4.13
36.975	4.13
37.175	4.1
37.325	4.09
37.375	4.08
37.425	4.08
37.475	4.07
37.525	4.06
37.575	4.06
37.625	4.05
37.675	4.05
37.725	4.04
37.825	4.03
37.925	4.02
38.025	4.01
38.075	4.01
38.125	4.0
38.175	3.99
38.225	3.99
38.275	3.98
38.375	3.97
38.425	3.97
38.525	3.96
38.575	3.95
38.625	3.95
38.775	3.93
38.825	3.93
38.875	3.92
38.975	3.91
39.025	3.91
39.125	3.9
39.175	3.89
39.225	3.89
39.375	3.87
39.425	3.87
39.475	3.86
39.625	3.85
39.725	3.84
39.775	3.83
39.925	3.82
39.975	3.81
40.025	3.81
40.175	3.79
40.225	3.79
40.325	3.78
40.375	3.78
40.425	3.77
40.475	3.77
40.625	3.75
40.675	3.75
40.725	3.74
40.775	3.74
40.825	3.73
40.925	3.72
41.025	3.72
41.075	3.71
41.125	3.71
41.175	3.7
41.625	3.66
41.675	3.66
41.725	3.65
41.925	3.63
42.075	3.62
42.125	3.62
42.225	3.61
42.325	3.6
42.575	3.58
42.825	3.56
43.175	3.53
43.225	3.53
43.725	3.48
44.025	3.46
44.225	3.45
44.325	3.44
44.425	3.43
44.675	3.41
44.975	3.39
45.025	3.38
45.125	3.38
45.325	3.36
45.375	3.36
45.425	3.35
45.525	3.35
45.625	3.34
46.425	3.28
46.475	3.28
46.525	3.27
46.725	3.26
46.825	3.25
46.925	3.25
47.025	3.24
47.125	3.23
47.175	3.23
47.375	3.22
47.625	3.2
47.675	3.2
47.925	3.18
47.975	3.18
48.025	3.17
48.075	3.17
48.125	3.17
48.175	3.16
48.725	3.13
48.775	3.12
48.825	3.12
48.875	3.12
48.925	3.11
48.975	3.11
49.775	3.06
49.875	3.06
49.925	3.05
50.025	3.05
50.275	3.03
50.925	2.99
51.325	2.97
51.475	2.96
51.625	2.95
51.775	2.94
51.925	2.94
52.075	2.93
52.175	2.92
52.475	2.91
52.525	2.9
52.575	2.9
52.825	2.89
52.925	2.88
52.975	2.88
53.075	2.87
53.475	2.85
54.025	2.82
54.225	2.81
54.875	2.78
55.325	2.76
55.525	2.75
55.625	2.74
55.775	2.74
57.425	2.66
57.575	2.65
57.675	2.65
59.525	2.57
59.675	2.56
59.775	2.56
60.225	2.54
60.275	2.54
60.625	2.52
60.825	2.51
61.025	2.51
61.275	2.5
62.225	2.46
62.875	2.43
62.925	2.43
63.075	2.43
63.675	2.4
63.875	2.4
64.775	2.36
65.675	2.33
66.025	2.32
66.575	2.3
68.675	2.24
69.075	2.22
69.275	2.22
71.225	2.16
72.625	2.12
73.675	2.09
74.225	2.08
75.175	2.05
76.825	2.01
78.075	1.98
79.425	1.95
81.425	1.91
81.575	1.9
82.625	1.88
83.575	1.86
84.375	1.85
85.275	1.83
87.325	1.79
87.375	1.79
90.425	1.74
90.775	1.73
92.525	1.7
93.975	1.68
94.525	1.67
94.875	1.67
97.275	1.63
98.825	1.61
115.925	1.42
119.625	1.39
122.125	1.37
154.725	1.19
