#median_bin_length(cM)	mean_posterior_tmrca	probability_coalesce_within_10_generation
13.475	11.73	0.5040263844703586
13.525	11.68	0.5066170356509803
13.575	11.64	0.5092005121880412
13.625	11.59	0.5117767568821616
13.675	11.55	0.5143457137180641
13.725	11.5	0.5169073278543809
13.775	11.46	0.5194615456134435
13.825	11.41	0.5220083144710926
13.875	11.37	0.524547583046468
13.925	11.33	0.5270793010918206
13.975	11.28	0.5296034194823177
14.025	11.24	0.5321198902058617
14.075	11.2	0.5346286663529095
14.125	11.16	0.5371297021063243
14.175	11.12	0.5396229527312028
14.225	11.07	0.5421083745647628
14.275	11.03	0.5445859250062025
14.325	10.99	0.5470555625066107
14.375	10.95	0.5495172465588768
14.425	10.91	0.5519709376876287
14.475	10.87	0.5544165974391867
14.525	10.83	0.5568541883715575
14.575	10.79	0.5592836740444251
14.625	10.75	0.5617050190091949
14.675	10.72	0.5641181887990493
14.725	10.68	0.5665231499190352
14.775	10.64	0.5689198698361834
14.825	10.6	0.5713083169696596
14.875	10.56	0.5736884606809411
14.925	10.53	0.5760602712640361
14.975	10.49	0.5784237199357345
15.025	10.45	0.5807787788258892
15.075	10.42	0.5831254209677302
15.125	10.38	0.5854636202882352
15.175	10.34	0.5877933515985247
15.225	10.31	0.5901145905842868
15.275	10.27	0.5924273137962669
15.325	10.24	0.5947314986407732
15.375	10.2	0.5970271233702477
15.425	10.17	0.5993141670738557
15.475	10.13	0.6015926096681387
15.525	10.1	0.6038624318877002
15.575	10.06	0.6061236152759446
15.625	10.03	0.6083761421758485
15.675	10.0	0.6106199957207946
15.725	9.96	0.6128551598254407
15.775	9.93	0.6150816191766384
15.825	9.9	0.6172993592244084
15.875	9.86	0.6195083661729459
15.925	9.83	0.6217086269717006
15.975	9.8	0.6239001293064868
16.025	9.77	0.6260828615906416
16.075	9.74	0.6282568129562542
16.125	9.7	0.6304219732454326
16.175	9.67	0.632578333001614
16.225	9.64	0.6347258834609465
16.275	9.61	0.6368646165437111
16.325	9.58	0.6389945248457933
16.375	9.55	0.6411156016302212
16.425	9.52	0.6432278408187468
16.475	9.49	0.645331236983481
16.525	9.46	0.6474257853385896
16.575	9.43	0.6495114817320322
16.625	9.4	0.6515883226373766
16.675	9.37	0.6536563051456384
16.725	9.34	0.6557154269572071
16.775	9.31	0.6577656863737988
16.825	9.28	0.6598070822904931
16.875	9.25	0.6618396141877988
16.925	9.22	0.6638632821237949
16.975	9.19	0.6658780867263133
17.025	9.17	0.6678840291851988
17.075	9.14	0.6698811112445947
17.125	9.11	0.6718693351953178
17.175	9.08	0.6738487038672593
17.225	9.06	0.6758192206218758
17.275	9.03	0.6777808893446992
17.325	9.0	0.6797337144379396
17.375	8.97	0.6816777008131187
17.425	8.95	0.6836128538837706
17.475	8.92	0.685539179558204
17.525	8.89	0.6874566842323183
17.575	8.87	0.6893653747824655
17.625	8.84	0.6912652585583835
17.675	8.81	0.6931563433761861
17.725	8.79	0.6950386375114017
17.775	8.76	0.6969121496920687
17.825	8.74	0.6987768890918987
17.875	8.71	0.7006328653234876
17.925	8.69	0.702480088431586
17.975	8.66	0.704318568886417
18.025	8.64	0.7061483175770812
18.075	8.61	0.7079693458049733
18.125	8.59	0.7097816652772946
18.175	8.56	0.7115852881005997
18.225	8.54	0.7133802267743996
18.275	8.51	0.715166494184848
18.325	8.49	0.7169441035984357
18.375	8.46	0.7187130686557889
18.425	8.44	0.7204734033654941
18.475	8.42	0.7222251220979865
18.525	8.39	0.7239682395794949
18.575	8.37	0.7257027708860444
18.625	8.35	0.7274287314375075
18.675	8.32	0.729146136991713
18.725	8.3	0.73085500363862
18.775	8.28	0.7325553477945205
18.825	8.25	0.7342471861963327
18.875	8.23	0.7359305358959057
18.925	8.21	0.7376054142544304
18.975	8.19	0.7392718389368441
19.025	8.16	0.7409298279063451
19.075	8.14	0.7425793994189209
19.125	8.12	0.7442205720179512
19.175	8.1	0.745853364528851
19.225	8.08	0.7474777960537815
19.275	8.05	0.7490938859663931
19.325	8.03	0.7507016539066371
19.375	8.01	0.7523011197756323
19.425	7.99	0.7538923037305614
19.475	7.97	0.755475226179639
19.525	7.95	0.757049907777132
19.575	7.93	0.7586163694184079
19.625	7.9	0.7601746322350685
19.675	7.88	0.7617247175900995
19.725	7.86	0.7632666470730988
19.775	7.84	0.7648004424955344
19.825	7.82	0.766326125886066
19.875	7.8	0.7678437194859027
19.925	7.78	0.769353245744231
19.975	7.76	0.7708547273136609
20.025	7.74	0.7723481870457488
20.075	7.72	0.7738336479865624
20.125	7.7	0.775311133372275
20.175	7.68	0.776780666624833
20.225	7.66	0.7782422713476632
20.275	7.64	0.7796959713214112
20.325	7.62	0.7811417904997465
20.375	7.6	0.7825797530052098
20.425	7.58	0.7840098831251056
20.475	7.56	0.785432205307428
20.525	7.55	0.7868467441568607
20.575	7.53	0.7882535244307957
20.625	7.51	0.7896525710354029
20.675	7.49	0.7910439090217674
20.725	7.47	0.7924275635820307
20.775	7.45	0.7938035600456104
20.825	7.43	0.7951719238754584
20.875	7.41	0.7965326806643428
20.925	7.4	0.7978858561311958
20.975	7.38	0.7992314761174936
21.025	7.36	0.8005695665836793
21.075	7.34	0.8019001536056398
21.125	7.32	0.8032232633711989
21.175	7.31	0.8045389221766892
21.225	7.29	0.8058471564235332
21.275	7.27	0.8071479926148729
21.325	7.25	0.8084414573522631
21.375	7.24	0.8097275773323724
21.425	7.22	0.8110063793437486
21.475	7.2	0.8122778902636109
21.525	7.18	0.8135421370546887
21.575	7.17	0.814799146762097
21.625	7.15	0.8160489465102593
21.675	7.13	0.8172915634998469
21.725	7.11	0.8185270250047864
21.775	7.1	0.819755358369283
21.825	7.08	0.8209765910048897
21.875	7.06	0.8221907503876206
21.925	7.05	0.8233978640550894
21.975	7.03	0.8245979596036888
22.075	7.0	0.8269772070071377
22.125	6.98	0.8281564143238357
22.175	6.97	0.8293287144399898
22.225	6.95	0.8304941352049037
22.275	6.93	0.8316527045105186
22.325	6.92	0.8328044502888423
22.375	6.9	0.8339494005094129
22.425	6.89	0.8350875831768027
22.475	6.87	0.8362190263281567
22.525	6.85	0.8373437580307553
22.575	6.84	0.8384618063796239
22.625	6.82	0.8395731994951674
22.675	6.81	0.8406779655208441
22.725	6.79	0.8417761326208486
22.775	6.78	0.8428677289778768
22.825	6.76	0.8439527827908583
22.875	6.75	0.8450313222727874
22.925	6.73	0.846103375648527
22.975	6.72	0.8471689711526837
23.025	6.7	0.8482281370274881
23.075	6.69	0.8492809015207318
23.125	6.67	0.850327292883706
23.225	6.64	0.8524010692294889
23.275	6.63	0.8534285107144056
23.325	6.61	0.8544496920693917
23.375	6.6	0.8554646415336025
23.425	6.58	0.8564733873380396
23.475	6.57	0.8574759577037038
23.525	6.55	0.8584723808397868
23.575	6.54	0.8594626849418768
23.625	6.53	0.8604468981902083
23.675	6.51	0.8614250487479206
23.725	6.5	0.8623971647593631
23.775	6.48	0.8633632743484119
23.825	6.47	0.8643234056168189
23.875	6.46	0.8652775866425901
23.925	6.44	0.8662258454783882
23.975	6.43	0.867168210149945
24.075	6.4	0.8690353689594622
24.125	6.39	0.8699602190005004
24.175	6.37	0.8708792866804987
24.225	6.36	0.8717925998678908
24.275	6.35	0.8727001863952798
24.325	6.33	0.8736020740580465
24.375	6.32	0.874498290612952
24.525	6.28	0.8771531905909044
24.575	6.27	0.8780269994631265
24.625	6.25	0.8788952753857348
24.675	6.24	0.8797580458562759
24.725	6.23	0.8806153383247074
24.775	6.21	0.8814671801921908
24.825	6.2	0.8823135988099399
24.875	6.19	0.8831546214780546
24.925	6.18	0.8839902754443912
24.975	6.16	0.8848205879034586
25.025	6.15	0.8856455859953309
25.075	6.14	0.8864652968045682
25.125	6.13	0.8872797473591857
25.225	6.1	0.8888929755276607
25.275	6.09	0.8896918069056131
25.325	6.08	0.8904854855551668
25.475	6.04	0.8928358721224698
25.525	6.03	0.8936092065316723
25.675	5.99	0.8958991970648182
25.725	5.98	0.8966526108179185
25.775	5.97	0.8974011100926728
